,cluster,dimension,"mean fit predict time, s",best ari,best ami,best fmi
0,SelfWritedKMeans,784,19.251080409998394,0.1743127580918196,0.38256634282199836,0.25259357276673344
1,SelfWritedKMeans,20,0.7190880739981367,0.17111393550185808,0.3604424913918154,0.2495983195177437
2,SelfWritedKMeans,50,1.0021315539997886,0.17600971158726555,0.3738251422406451,0.25166252504642894
3,SelfWritedKMeans,100,1.6614639079998597,0.1769028638971936,0.3755722289703557,0.2526413164851742
4,SelfWritedKMeans,500,10.651850504000322,0.1743127580918196,0.38256634282199836,0.25259357276673344
0,KMeans,784,0.8600385520003329,0.16890922828813282,0.3614116263873133,0.24591461752706342
1,KMeans,20,0.14080479399854084,0.17160366615410874,0.3653324615170002,0.2490380704154747
2,KMeans,50,0.1625619119986368,0.17925921347005747,0.3842930155067758,0.25781778751043116
3,KMeans,100,0.1429637900000671,0.1696316858438457,0.367130222532241,0.24612287711312095
4,KMeans,500,0.35742014999777894,0.16890922828813282,0.3614116263873133,0.24591461752706342
0,DBSCAN,784,4.058753375997185,0.0,0.0,0.1963056607483961
1,DBSCAN,20,0.07131485900026746,0.015337657652153837,0.22036546160631013,0.2004572367297702
2,DBSCAN,50,0.10455706200082204,0.0,0.0,0.1963056607483961
3,DBSCAN,100,0.17701734400179703,0.0,0.0,0.1963056607483961
4,DBSCAN,500,0.8475923919977504,0.0,0.0,0.1963056607483961
0,SelfWritedKMeans,784,18.951900019001187,0.1743127580918196,0.38256634282199836,0.25259357276673344
1,SelfWritedKMeans,20,0.6323535089977668,0.1699814700973375,0.35886628036567403,0.248347457319752
2,SelfWritedKMeans,50,1.0349185740014946,0.1758890496181365,0.3737442551007698,0.2515302521962352
3,SelfWritedKMeans,100,1.7518313639993721,0.176851572107005,0.37547353146812135,0.2525885595459521
4,SelfWritedKMeans,500,10.498900821999996,0.1743127580918196,0.38256634282199836,0.25259357276673344
0,KMeans,784,0.5196317230002023,0.16890922828813282,0.3614116263873133,0.24591461752706342
1,KMeans,20,0.11472063199835247,0.1779708800871052,0.3750478977223053,0.2547038301072888
2,KMeans,50,0.12498778799999855,0.15993711754781045,0.34747556579499805,0.23460572926608023
3,KMeans,100,0.19101575600143406,0.171808211469251,0.3690811175956775,0.24826423072981835
4,KMeans,500,0.35987507900063065,0.16890922828813282,0.3614116263873133,0.24591461752706342
0,DBSCAN,784,4.131379043999914,0.0,0.0,0.1963056607483961
1,DBSCAN,20,0.07161374899806106,0.01523357210123044,0.2197432577751214,0.20044941251006584
2,DBSCAN,50,0.10628739100138773,0.0,0.0,0.1963056607483961
3,DBSCAN,100,0.17915244700270705,0.0,0.0,0.1963056607483961
4,DBSCAN,500,0.8940113850003399,0.0,0.0,0.1963056607483961
